Transaction_ID,Date,Customer_ID,Gender,Age,Product_Category,Quantity,Price_per_Unit,Total_Amount
1,2023-01-15,CUST001,Male,35,Electronics,2,299.99,599.98
2,2023-01-15,CUST002,Female,28,Clothing,1,79.99,79.99
3,2023-01-16,CUST003,Male,42,Electronics,1,1299.99,1299.99
4,2023-01-16,CUST004,Female,31,Beauty,3,24.99,74.97
5,2023-01-17,CUST005,Male,29,Sports,2,149.99,299.98
6,2023-01-17,CUST001,Male,35,Clothing,1,89.99,89.99
7,2023-01-18,CUST006,Female,45,Home & Garden,1,199.99,199.99
8,2023-01-18,CUST007,Male,38,Electronics,1,499.99,499.99
9,2023-01-19,CUST008,Female,33,Beauty,2,34.99,69.98
10,2023-01-19,CUST002,Female,28,Sports,1,179.99,179.99
11,2023-01-20,CUST009,Male,27,Electronics,1,799.99,799.99
12,2023-01-20,CUST010,Female,52,Clothing,2,59.99,119.98
13,2023-01-21,CUST003,Male,42,Home & Garden,1,159.99,159.99
14,2023-01-21,CUST011,Female,39,Beauty,1,49.99,49.99
15,2023-01-22,CUST012,Male,31,Sports,3,99.99,299.97
16,2023-01-22,CUST013,Female,26,Electronics,1,399.99,399.99
17,2023-01-23,CUST014,Male,48,Clothing,2,129.99,259.98
18,2023-01-23,CUST015,Female,34,Home & Garden,1,89.99,89.99
19,2023-01-24,CUST016,Male,29,Beauty,2,19.99,39.98
20,2023-01-24,CUST017,Female,41,Sports,1,249.99,249.99
21,2023-01-25,CUST018,Male,36,Electronics,2,699.99,1399.98
22,2023-01-25,CUST019,Female,30,Clothing,3,45.99,137.97
23,2023-01-26,CUST020,Male,44,Home & Garden,1,299.99,299.99
24,2023-01-26,CUST021,Female,27,Beauty,4,29.99,119.96
25,2023-01-27,CUST022,Male,38,Sports,1,199.99,199.99
26,2023-01-27,CUST023,Female,32,Electronics,1,899.99,899.99
27,2023-01-28,CUST024,Male,45,Clothing,2,79.99,159.98
28,2023-01-28,CUST025,Female,29,Home & Garden,1,149.99,149.99
29,2023-01-29,CUST026,Male,37,Beauty,1,39.99,39.99
30,2023-01-29,CUST027,Female,33,Sports,2,179.99,359.98
31,2023-01-30,CUST028,Male,40,Electronics,1,599.99,599.99
32,2023-01-30,CUST029,Female,35,Clothing,1,99.99,99.99
33,2023-01-31,CUST030,Male,28,Home & Garden,3,69.99,209.97
34,2023-02-01,CUST031,Female,46,Beauty,2,24.99,49.98
35,2023-02-01,CUST032,Male,31,Sports,1,299.99,299.99
36,2023-02-02,CUST033,Female,39,Electronics,2,449.99,899.98
37,2023-02-02,CUST034,Male,43,Clothing,1,119.99,119.99
38,2023-02-03,CUST035,Female,25,Home & Garden,1,179.99,179.99
39,2023-02-03,CUST036,Male,34,Beauty,3,34.99,104.97
40,2023-02-04,CUST037,Female,42,Sports,2,149.99,299.98
41,2023-02-04,CUST038,Male,36,Electronics,1,1099.99,1099.99
42,2023-02-05,CUST039,Female,30,Clothing,2,89.99,179.98
43,2023-02-05,CUST040,Male,47,Home & Garden,1,249.99,249.99
44,2023-02-06,CUST041,Female,28,Beauty,1,54.99,54.99
45,2023-02-06,CUST042,Male,35,Sports,3,199.99,599.97
46,2023-02-07,CUST043,Female,38,Electronics,1,799.99,799.99
47,2023-02-07,CUST044,Male,41,Clothing,2,69.99,139.98
48,2023-02-08,CUST045,Female,33,Home & Garden,1,199.99,199.99
49,2023-02-08,CUST046,Male,29,Beauty,2,44.99,89.98
50,2023-02-09,CUST047,Female,44,Sports,1,329.99,329.99
51,2023-02-09,CUST048,Male,32,Electronics,2,399.99,799.98
52,2023-02-10,CUST049,Female,37,Clothing,1,149.99,149.99
53,2023-02-10,CUST050,Male,26,Home & Garden,2,99.99,199.98
54,2023-02-11,CUST001,Male,35,Electronics,1,699.99,699.99
55,2023-02-11,CUST002,Female,28,Beauty,3,39.99,119.97
56,2023-02-12,CUST003,Male,42,Sports,2,249.99,499.98
57,2023-02-12,CUST004,Female,31,Clothing,1,119.99,119.99
58,2023-02-13,CUST005,Male,29,Home & Garden,1,179.99,179.99
